date,open,high,low,close,volume,change_percent,avg_vol_20d
2009/11/10,94.31,94.44,94.31,94.44,0,,
2009/11/11,94.77,94.85,94.77,94.85,0,,
2009/11/12,94.44,94.71,94.44,94.71,0,,
2009/11/13,94.69,95.12,94.69,95.11,3816,,
2009/11/16,95.29,96.09,95.29,96.09,0,,
2009/11/17,95.71,96.04,95.71,96.04,0,,
2009/11/18,96.13,96.13,95.48,95.48,0,,
2009/11/19,95.52,95.52,94.23,94.23,0,,
2009/11/20,94.48,94.48,93.96,93.96,0,,
2009/11/23,94.59,95.36,94.59,95.36,0,,
2009/11/24,94.73,94.73,94.67,94.67,0,,
2009/11/25,95.32,95.32,94.99,94.99,0,,
2009/11/26,94.27,94.27,92.95,92.95,0,,
2009/11/27,92.09,93.72,92.09,93.72,0,,
2009/11/30,93.91,93.91,93.19,93.19,113,,
2009/12/01,94.07,94.85,94.07,94.85,0,,
2009/12/02,95.27,95.27,95.27,95.27,1,,
2009/12/03,95.74,95.74,95.06,95.06,0,,
2009/12/04,94.7,96.08,94.7,96.08,0,,
2009/12/07,95.8,96.2,95.8,96.2,0,,
2009/12/08,96.01,96.01,95.49,95.49,0,,
2009/12/09,95.44,95.44,95.02,95.02,0,,
2009/12/10,95.33,95.97,95.33,95.97,0,,
2009/12/11,96.38,96.63,96.38,96.63,0,,
2009/12/14,97.15,97.21,97,97.21,82,,
2009/12/15,97.5,97.6,97.5,97.6,0,,
2009/12/16,97.6,98.14,97.6,98.14,0,,
2009/12/17,98.04,98.04,97.64,97.77,2680,,
2009/12/18,97.87,97.87,97.59,97.59,0,,
2009/12/21,98.05,99.01,98.05,99.01,0,,
2009/12/22,99.06,99.53,99.06,99.53,0,,
2009/12/23,99.93,99.93,99.54,99.54,0,,
2009/12/24,,,,99.54,,,
2009/12/28,99.86,101.05,99.86,100.3,4850,,
2009/12/29,99.99,100.17,99.99,100.17,0,,
2009/12/30,99.83,99.93,99.83,99.93,0,,
2010/01/04,100.46,100.93,100.46,100.93,0,,
2010/01/05,100.9,101.19,100.9,101.19,0,,
2010/01/06,101.64,101.64,101.45,101.51,4800,,
2010/01/07,101.33,101.75,101.33,101.75,0,,
2010/01/08,102.15,102.3,101.93,101.93,9,,
2010/01/11,102.01,102.01,101.38,101.38,0,,
2010/01/12,101.71,101.71,100.89,100.89,0,,
2010/01/13,100.83,101.15,100.83,101.15,0,,
2010/01/14,101.72,102.03,101.72,102.03,0,,
2010/01/15,102.47,102.47,101.5,101.5,0,,
2010/01/18,101.9,102.07,101.9,102.07,0,,
2010/01/19,101.78,102.99,101.78,102.99,0,,
2010/01/20,102.94,102.94,102.22,102.22,0,,
2010/01/21,103.01,103.01,101.32,101.32,0,,
2010/01/22,100.81,100.81,100.21,100.21,0,,
2010/01/25,99.61,99.94,99.05,99.05,4719,,
2010/01/26,98.69,99.79,98.69,99.79,0,,
2010/01/27,98.87,99.21,98.87,98.91,165,,
2010/01/28,100.14,100.26,98.35,98.35,500,,
2010/01/29,98.86,99.41,98.47,99.41,4659,,
2010/02/01,98.52,99.42,98.52,99.32,1950,,
2010/02/02,99.55,100.2,99.55,100.2,134,,
2010/02/03,100.51,100.51,100.04,100.04,318,,
2010/02/04,100.2,100.2,98.4,98.4,300,,
2010/02/05,98.32,98.32,97.56,97.56,9,,
2010/02/08,98.15,98.31,98.14,98.14,166,,
2010/02/09,97.9,98.37,97.9,98.28,318,,
2010/02/10,98.14,98.76,98.14,98.29,739,,
2010/02/11,98.68,99.31,98.68,99.31,0,,
2010/02/12,99.99,100.08,99.06,99.06,365,,
2010/02/15,99.82,99.82,99.82,99.82,1,,
2010/02/16,100.43,100.54,100.19,100.19,3419,,
2010/02/17,100.92,101.76,100.92,101.76,0,,
2010/02/18,101.96,102.35,101.96,102.35,0,,
2010/02/19,101.83,103.04,101.83,103.04,616,,
2010/02/22,102.82,102.87,102.55,102.55,20,,
2010/02/23,102.71,102.71,101.95,101.95,0,,
2010/02/24,102.06,102.16,101.82,102.16,1154,,
2010/02/25,102,102,100.94,100.98,2206,,
2010/02/26,101.95,101.99,101.73,101.73,573,,
2010/03/01,102.7,103.6,102.7,103.6,0,,
2010/03/02,103.48,104.21,103.48,104.21,1000,,
2010/03/03,103.62,103.82,103.62,103.82,0,,
2010/03/04,103.34,104.19,103.34,104.19,0,,
2010/03/05,104.57,105.47,104.57,105.47,0,,
2010/03/08,105.45,105.67,105.45,105.67,13,,
2010/03/09,105.6,106.13,105.6,106.13,0,,
2010/03/10,105.96,106.12,105.91,106.12,600,,
2010/03/11,105.88,106.12,105.78,105.78,4285,,
2010/03/12,106.05,106.05,105.77,105.77,401,,
2010/03/15,105.78,105.78,105.73,105.73,0,,
2010/03/16,106.24,106.3,106.24,106.3,0,,
2010/03/17,106.7,107.32,106.7,107.32,1,,
2010/03/18,107.43,107.78,107.43,107.68,428,,
2010/03/19,108,108,107.81,107.81,0,,
2010/03/22,107.46,107.82,107.46,107.82,0,,
2010/03/23,108.32,108.6,108.32,108.6,0,,
2010/03/24,109.46,109.76,109.46,109.58,4017,,
2010/03/25,109.78,110.43,109.78,110.43,0,,
2010/03/26,109.9,109.9,109.29,109.29,1937,,
2010/03/29,109.62,109.62,109.54,109.54,362,,
2010/03/30,109.61,109.92,109.61,109.78,1275,,
2010/03/31,109.6,109.6,109,109.14,12,,
2010/04/01,109.77,110.44,109.77,110.07,1487,,
2010/04/06,111.37,111.84,111.37,111.84,460,,
2010/04/07,112.04,112.04,111.7,111.7,683,,
2010/04/08,111.38,111.38,110.91,111.12,32,,
2010/04/09,111.68,111.79,111.51,111.51,1235,,
2010/04/12,110.98,111.12,110.98,111.12,0,,
2010/04/13,110.65,110.67,110.65,110.67,0,,
2010/04/14,111.15,111.47,111.15,111.33,2779,,
2010/04/15,111.86,112.54,111.86,112.54,710,,
2010/04/16,112.06,112.55,111.03,111.03,200,,
2010/04/19,110.71,110.71,110.59,110.59,39,,
2010/04/20,111.44,112.27,111.44,112.27,5425,,
2010/04/21,112.87,112.87,112.24,112.24,0,,
2010/04/22,111.95,111.95,111.65,111.65,0,,
